job_role,years_experience,location_tier,num_skills,education_level,num_certifications,salary
Java Developer,1,2,8,B.Sc,0,5.6
Marketing Executive,2,1,6,B.Tech,2,10.03
Mechanical Design Engineer,2,1,11,M.Sc,2,9.58
Marketing Executive,0,2,9,M.Tech,1,5.99
Marketing Executive,0,1,12,M.Sc,1,6.34
Frontend Developer,0,3,5,M.Sc,0,4.14
DevOps Engineer,0,2,12,M.Tech,1,6.88
Marketing Executive,0,2,5,B.Tech,1,4.33
Marketing Executive,0,1,11,M.Sc,0,5.61
Data Scientist,0,2,9,B.Sc,0,7.04
Data Scientist,0,2,12,M.Sc,2,7.19
Frontend Developer,0,2,12,MCA,2,6.16
Systems Analyst,1,1,5,M.Tech,0,7.9
Data Scientist,3,1,10,M.Tech,0,13.54
Java Developer,1,1,8,MCA,1,8.72
Frontend Developer,0,1,4,M.Sc,0,5.9
Java Developer,0,2,6,B.Tech,1,5.64
Frontend Developer,3,1,9,M.Sc,0,11.79
DevOps Engineer,0,2,6,B.Tech,1,5.99
Frontend Developer,1,1,12,MCA,0,8.74
Data Scientist,0,1,7,M.Tech,1,9.09
Business Analyst,0,1,6,M.Sc,1,6.18
UX Designer,0,1,9,M.Tech,0,7.13
DevOps Engineer,0,1,7,B.Sc,1,6.36
Data Scientist,3,1,5,B.Tech,2,13.21
Mechanical Design Engineer,2,1,5,M.Sc,0,8.15
UX Designer,0,1,9,B.Sc,0,6.26
UX Designer,0,1,10,MCA,0,6.78
ML Engineer,0,1,12,B.Sc,0,9.15
Business Analyst,2,1,9,MCA,1,9.27
Frontend Developer,1,1,8,MCA,1,8.2
UX Designer,0,1,6,B.Tech,0,6.64
Data Scientist,3,1,9,B.Sc,2,13.94
DevOps Engineer,0,2,9,B.Sc,1,6.67
Frontend Developer,0,1,11,M.Tech,0,7.23
Mechanical Design Engineer,1,2,9,B.Tech,1,7.22
ML Engineer,0,1,8,B.Sc,0,8.67
ML Engineer,0,1,5,B.Sc,0,8.23
Business Analyst,0,2,4,MCA,1,4.1
ML Engineer,3,1,4,B.Sc,0,11.9
Business Analyst,0,2,4,M.Tech,1,5.23
DevOps Engineer,1,1,6,M.Tech,1,10.11
Java Developer,0,1,5,B.Tech,1,6.04
Business Analyst,0,3,6,M.Sc,1,4.48
DevOps Engineer,1,2,12,B.Tech,0,8.93
UX Designer,2,1,11,M.Sc,1,9.22
Mechanical Design Engineer,0,1,4,MCA,1,5.04
ML Engineer,1,3,9,B.Tech,0,7.66
Business Analyst,0,2,10,M.Sc,0,4.42
Frontend Developer,2,2,12,B.Sc,0,8.49
Business Analyst,0,1,9,B.Tech,1,7.0
UX Designer,2,3,11,MCA,0,8.05
Data Scientist,0,1,12,B.Tech,1,8.09
Business Analyst,1,1,7,M.Tech,0,8.35
Java Developer,0,2,4,M.Tech,0,5.33
Business Analyst,1,3,12,B.Sc,0,5.55
ML Engineer,0,2,8,B.Sc,1,7.02
Systems Analyst,1,1,5,B.Tech,0,7.75
Mechanical Design Engineer,1,1,11,M.Sc,2,7.52
Frontend Developer,0,2,4,B.Tech,0,5.04
Java Developer,1,1,8,M.Tech,1,8.2
Java Developer,0,2,6,B.Sc,0,4.09
DevOps Engineer,1,1,4,M.Tech,0,8.03
Systems Analyst,2,1,5,MCA,0,8.44
Marketing Executive,0,1,10,M.Sc,0,5.31
UX Designer,0,2,5,M.Sc,0,4.96
Systems Analyst,0,1,8,B.Sc,2,7.43
Business Analyst,0,2,7,M.Tech,1,5.74
Marketing Executive,0,1,7,B.Tech,0,5.52
Java Developer,0,3,4,M.Sc,0,3.15
Java Developer,0,2,4,MCA,0,3.94
Mechanical Design Engineer,0,1,11,B.Sc,1,5.57
Java Developer,2,1,5,B.Tech,0,8.88
Frontend Developer,0,1,12,B.Sc,0,7.34
UX Designer,0,1,6,M.Tech,2,7.85
Frontend Developer,2,2,7,MCA,1,9.69
Systems Analyst,0,1,11,MCA,1,7.11
Systems Analyst,1,1,10,B.Tech,0,7.6
Systems Analyst,0,1,5,M.Sc,1,6.79
Data Scientist,2,2,6,B.Tech,1,10.81
DevOps Engineer,0,1,6,MCA,0,7.06
Business Analyst,3,1,4,M.Sc,0,9.33
UX Designer,0,2,4,B.Sc,1,4.87
UX Designer,0,1,5,B.Sc,1,5.77
UX Designer,0,1,8,M.Sc,1,6.71
Data Scientist,0,1,8,M.Sc,0,8.35
Data Scientist,1,2,7,B.Tech,0,8.65
UX Designer,1,1,8,B.Tech,0,7.16
Systems Analyst,2,1,6,B.Tech,0,9.65
Frontend Developer,0,1,8,M.Sc,1,6.57
UX Designer,0,1,5,MCA,1,7.0
Frontend Developer,0,2,9,B.Tech,0,5.53
UX Designer,0,2,9,B.Tech,1,6.19
Data Scientist,3,2,11,B.Tech,0,11.55
Marketing Executive,1,2,11,MCA,1,7.0
Marketing Executive,1,1,7,M.Sc,0,6.4
DevOps Engineer,0,1,7,B.Tech,0,7.16
Data Scientist,0,1,11,B.Sc,0,7.18
Marketing Executive,2,1,12,M.Tech,0,9.41
UX Designer,1,1,8,MCA,1,8.83
UX Designer,1,3,9,M.Sc,0,6.46
Mechanical Design Engineer,0,1,9,MCA,1,5.63
DevOps Engineer,2,3,12,B.Tech,0,8.89
Marketing Executive,0,1,8,B.Sc,1,6.21
Mechanical Design Engineer,1,1,9,M.Tech,1,8.59
UX Designer,0,1,11,M.Sc,0,7.2
Data Scientist,1,2,7,MCA,0,7.55
Data Scientist,1,2,4,MCA,0,6.92
Mechanical Design Engineer,0,1,4,B.Tech,1,5.21
Marketing Executive,0,1,11,B.Tech,2,7.25
UX Designer,1,2,12,B.Sc,0,7.3
Marketing Executive,2,1,8,M.Sc,0,8.77
Mechanical Design Engineer,1,2,6,M.Sc,1,6.5
UX Designer,1,1,7,MCA,2,9.14
UX Designer,0,2,9,B.Tech,0,5.12
Frontend Developer,2,1,12,M.Tech,0,10.44
Business Analyst,2,1,7,B.Sc,1,9.81
Business Analyst,1,2,8,M.Tech,0,6.38
Mechanical Design Engineer,0,1,4,MCA,1,5.19
Frontend Developer,0,3,7,M.Sc,0,4.4
UX Designer,0,1,10,B.Tech,1,7.18
Java Developer,0,1,12,MCA,0,6.2
DevOps Engineer,0,1,9,B.Sc,0,6.46
UX Designer,3,2,6,B.Tech,1,9.55
Data Scientist,1,1,10,MCA,0,9.39
UX Designer,0,1,7,M.Tech,1,7.16
DevOps Engineer,3,2,6,B.Sc,1,11.24
Java Developer,0,1,5,M.Sc,1,5.47
Java Developer,0,2,7,B.Sc,1,4.29
Frontend Developer,1,1,8,MCA,0,8.39
Java Developer,0,3,11,B.Tech,0,4.61
DevOps Engineer,0,1,5,MCA,2,7.73
ML Engineer,0,1,4,M.Sc,1,7.96
Mechanical Design Engineer,0,1,12,M.Sc,0,6.95
Marketing Executive,2,1,4,B.Sc,1,7.88
Mechanical Design Engineer,0,1,9,B.Tech,1,6.46
Frontend Developer,3,1,9,B.Sc,0,10.45
Marketing Executive,0,1,10,B.Sc,1,6.47
Java Developer,2,3,6,MCA,0,6.89
Mechanical Design Engineer,0,1,12,M.Tech,1,6.42
Mechanical Design Engineer,0,1,8,B.Tech,0,6.37
Mechanical Design Engineer,2,2,9,M.Sc,2,9.54
Java Developer,1,1,8,M.Tech,1,8.51
Systems Analyst,3,2,12,M.Sc,0,11.13
Marketing Executive,1,2,6,MCA,1,6.59
Frontend Developer,0,1,4,M.Sc,1,5.95
ML Engineer,0,2,8,M.Sc,1,7.21
Frontend Developer,0,1,4,B.Tech,2,6.33
DevOps Engineer,3,1,5,B.Sc,1,12.46
Data Scientist,2,1,12,B.Sc,1,10.62
Java Developer,0,2,11,B.Tech,0,5.55
DevOps Engineer,0,1,8,MCA,1,6.59
Marketing Executive,0,2,4,MCA,0,4.07
Systems Analyst,0,1,12,B.Tech,1,7.07
Mechanical Design Engineer,0,1,4,B.Tech,1,5.14
Systems Analyst,0,3,10,B.Sc,1,4.95
Frontend Developer,0,2,11,MCA,1,6.17
ML Engineer,0,1,12,MCA,0,9.95
Data Scientist,1,2,11,MCA,2,8.55
Marketing Executive,1,2,12,M.Sc,0,6.59
ML Engineer,1,1,8,MCA,0,9.89
Java Developer,1,2,6,B.Sc,1,5.89
Java Developer,3,1,10,MCA,1,12.58
DevOps Engineer,0,1,12,M.Sc,0,7.4
Business Analyst,0,1,4,M.Tech,1,5.56
Frontend Developer,1,1,9,B.Sc,0,7.02
Frontend Developer,1,1,7,M.Sc,2,8.57
Marketing Executive,1,1,11,M.Sc,1,8.46
ML Engineer,0,1,6,B.Sc,0,7.2
Marketing Executive,0,1,8,B.Tech,0,5.57
Business Analyst,1,2,4,B.Tech,0,6.06
Mechanical Design Engineer,2,1,7,B.Tech,0,8.67
UX Designer,3,2,8,B.Sc,2,11.58
Business Analyst,2,1,6,B.Sc,0,8.55
Mechanical Design Engineer,2,2,7,B.Sc,0,6.44
Business Analyst,1,1,8,M.Sc,0,7.53
Java Developer,0,2,5,B.Sc,0,3.72
Marketing Executive,1,3,9,M.Sc,1,6.1
UX Designer,0,1,9,B.Sc,0,6.64
Frontend Developer,3,3,9,M.Tech,0,10.6
Systems Analyst,0,1,12,M.Sc,0,6.23
Data Scientist,0,2,11,MCA,1,8.07
ML Engineer,0,1,10,MCA,1,9.17
Java Developer,0,1,6,B.Sc,0,5.64
Business Analyst,0,2,9,M.Sc,2,5.1
Data Scientist,0,2,5,MCA,1,6.12
Systems Analyst,0,2,11,B.Sc,1,5.37
DevOps Engineer,2,1,11,M.Tech,0,11.71
Java Developer,0,1,12,B.Tech,1,7.65
Frontend Developer,0,1,6,M.Sc,1,5.62
Systems Analyst,0,1,7,M.Tech,1,6.77
Marketing Executive,1,1,9,M.Sc,1,6.88
Java Developer,0,2,8,M.Tech,0,5.92
Data Scientist,0,1,12,B.Sc,1,9.18
Data Scientist,0,1,10,MCA,1,9.65
ML Engineer,0,1,12,B.Tech,2,10.73
Mechanical Design Engineer,2,2,6,B.Sc,0,7.12
Business Analyst,0,1,12,B.Tech,0,6.74
DevOps Engineer,1,3,5,M.Sc,1,7.36
Data Scientist,1,3,12,MCA,1,9.23
Mechanical Design Engineer,0,2,6,B.Tech,1,4.42
UX Designer,1,1,9,B.Sc,0,8.25
Marketing Executive,0,1,7,MCA,0,5.08
Business Analyst,0,2,11,B.Sc,0,4.92
ML Engineer,3,1,9,B.Tech,1,15.04
Java Developer,0,1,11,M.Sc,0,6.96
DevOps Engineer,2,1,10,B.Sc,1,9.44
Data Scientist,0,1,10,MCA,1,8.94
Business Analyst,2,1,4,MCA,0,7.38
Business Analyst,0,1,5,M.Tech,0,5.94
Mechanical Design Engineer,0,1,12,M.Tech,1,7.9
Java Developer,2,1,4,B.Tech,1,8.65
ML Engineer,1,1,9,B.Sc,1,11.12
Marketing Executive,1,1,11,MCA,1,8.5
Mechanical Design Engineer,3,1,11,MCA,0,11.85
ML Engineer,2,3,12,M.Tech,0,10.71
ML Engineer,2,2,7,B.Tech,1,10.47
DevOps Engineer,3,1,6,M.Sc,0,11.35
ML Engineer,1,1,8,MCA,1,11.48
Frontend Developer,2,3,6,M.Sc,1,6.92
Marketing Executive,0,2,7,MCA,1,5.12
Mechanical Design Engineer,0,2,9,MCA,0,4.65
Java Developer,0,1,10,MCA,0,5.78
Marketing Executive,3,2,8,MCA,2,9.41
Systems Analyst,1,1,9,MCA,0,7.76
Marketing Executive,0,2,11,B.Tech,1,5.7
Data Scientist,0,1,7,M.Tech,0,7.35
Marketing Executive,3,1,10,B.Sc,1,9.73
DevOps Engineer,1,1,9,MCA,0,7.73
Business Analyst,0,1,6,MCA,1,6.17
Systems Analyst,1,2,8,MCA,0,6.54
UX Designer,1,1,8,B.Sc,1,8.54
UX Designer,0,1,10,MCA,0,6.56
ML Engineer,0,1,5,B.Sc,1,7.03
Mechanical Design Engineer,0,1,11,M.Tech,1,6.95
DevOps Engineer,0,1,8,M.Sc,0,6.58
Data Scientist,1,1,9,M.Tech,2,11.63
Data Scientist,0,2,11,M.Sc,1,6.64
ML Engineer,1,3,10,B.Tech,0,9.26
UX Designer,2,1,7,M.Tech,0,10.85
Business Analyst,3,1,7,MCA,0,9.3
Mechanical Design Engineer,0,3,12,M.Tech,0,5.86
ML Engineer,1,1,8,B.Sc,0,8.9
ML Engineer,1,3,11,M.Sc,1,9.85
Systems Analyst,1,1,12,M.Tech,1,10.42
DevOps Engineer,0,1,9,M.Sc,1,7.42
Business Analyst,0,2,6,M.Sc,0,4.55
Java Developer,3,1,7,M.Tech,0,10.14
Java Developer,2,3,10,B.Tech,0,8.0
UX Designer,0,1,6,B.Tech,1,6.37
UX Designer,0,1,8,M.Tech,1,7.72
Java Developer,1,2,6,B.Tech,0,6.31
Business Analyst,0,1,7,M.Sc,1,6.39
Data Scientist,2,1,12,MCA,0,11.22
Java Developer,0,1,11,MCA,0,6.0
Marketing Executive,0,2,5,M.Sc,0,4.41
ML Engineer,2,2,10,M.Sc,1,10.79
Business Analyst,0,1,12,M.Tech,2,7.46
Java Developer,0,2,8,M.Tech,1,5.98
DevOps Engineer,0,3,8,M.Sc,0,5.28
ML Engineer,0,2,11,M.Tech,1,8.72
DevOps Engineer,0,3,5,B.Sc,2,5.64
Systems Analyst,1,1,4,B.Tech,1,8.7
Systems Analyst,1,1,12,MCA,1,8.37
Business Analyst,0,2,7,B.Sc,0,4.25
Systems Analyst,0,2,10,B.Sc,1,4.96
Systems Analyst,0,1,7,B.Tech,1,7.46
Data Scientist,0,2,7,B.Sc,1,6.93
ML Engineer,0,1,8,M.Tech,0,9.24
Frontend Developer,0,2,6,MCA,0,4.62
ML Engineer,3,1,5,MCA,0,14.01
DevOps Engineer,2,1,11,B.Tech,0,10.31
Marketing Executive,1,1,10,B.Sc,2,7.71
Systems Analyst,0,1,12,B.Sc,0,6.98
ML Engineer,1,1,5,M.Sc,1,10.11
Business Analyst,2,1,9,B.Tech,1,10.21
DevOps Engineer,3,1,9,MCA,0,13.03
Mechanical Design Engineer,2,2,11,MCA,2,9.41
Frontend Developer,1,1,8,B.Sc,0,6.57
UX Designer,2,1,8,B.Sc,0,9.32
Systems Analyst,1,1,9,M.Tech,0,9.1
Business Analyst,0,2,8,B.Tech,1,5.17
Frontend Developer,1,1,6,B.Sc,0,7.9
Marketing Executive,0,2,4,B.Sc,2,4.56
Business Analyst,0,1,11,MCA,0,7.01
Java Developer,1,1,10,M.Tech,1,7.95
Mechanical Design Engineer,2,3,11,M.Sc,2,8.03
UX Designer,2,1,11,B.Sc,0,8.45
Systems Analyst,0,1,6,M.Tech,1,6.45
ML Engineer,1,1,9,B.Tech,0,9.91
DevOps Engineer,0,1,8,M.Tech,0,6.79
Mechanical Design Engineer,0,1,11,B.Sc,1,6.1
UX Designer,0,1,8,M.Tech,1,7.12
Systems Analyst,1,2,7,M.Tech,0,7.09
Mechanical Design Engineer,2,1,7,M.Tech,0,10.0
ML Engineer,2,1,12,MCA,1,11.67
Frontend Developer,1,2,4,M.Sc,1,6.59
Systems Analyst,1,1,8,MCA,1,9.12
Mechanical Design Engineer,2,1,7,M.Tech,0,10.1
Mechanical Design Engineer,0,2,8,B.Tech,0,5.39
UX Designer,2,1,10,B.Tech,0,10.29
Marketing Executive,0,2,4,B.Tech,0,4.4
Data Scientist,3,2,8,M.Sc,1,10.51
Systems Analyst,3,1,7,M.Sc,1,11.65
Marketing Executive,0,2,4,B.Tech,2,4.78
Marketing Executive,0,1,8,MCA,1,6.02
Mechanical Design Engineer,0,1,9,MCA,0,6.16
DevOps Engineer,0,1,11,M.Sc,0,7.83
Data Scientist,0,1,10,M.Sc,1,7.53
DevOps Engineer,0,1,10,MCA,1,7.9
Frontend Developer,1,1,4,M.Sc,1,7.3
Business Analyst,1,2,9,B.Sc,1,7.18
Frontend Developer,0,2,6,M.Sc,1,5.13
Mechanical Design Engineer,2,3,5,MCA,0,6.59
Marketing Executive,1,1,7,B.Sc,2,8.12
Business Analyst,0,2,4,M.Tech,0,4.48
Systems Analyst,3,1,9,M.Tech,0,10.38
ML Engineer,3,1,7,M.Sc,0,12.65
DevOps Engineer,0,1,10,B.Tech,1,7.69
DevOps Engineer,2,1,9,B.Tech,1,10.96
ML Engineer,0,2,4,M.Sc,0,7.27
Java Developer,1,2,8,M.Sc,2,6.43
Data Scientist,1,1,10,B.Tech,2,9.69
Business Analyst,1,1,7,B.Tech,2,7.83
Marketing Executive,0,1,12,B.Sc,1,5.63
Mechanical Design Engineer,0,2,9,MCA,0,4.73
Marketing Executive,0,1,5,M.Sc,1,5.0
DevOps Engineer,2,2,9,MCA,0,9.26
Systems Analyst,1,1,7,M.Sc,1,7.18
Business Analyst,1,3,8,M.Tech,2,6.73
Marketing Executive,0,1,10,B.Tech,2,7.63
Marketing Executive,0,1,11,M.Tech,0,5.86
Data Scientist,0,1,10,B.Tech,1,9.05
Marketing Executive,3,1,12,B.Sc,0,10.54
Frontend Developer,1,1,12,B.Sc,0,7.26
UX Designer,2,2,9,M.Sc,2,8.87
Frontend Developer,1,2,4,B.Sc,0,6.08
Frontend Developer,0,1,7,M.Sc,0,5.41
Business Analyst,0,3,11,B.Sc,0,4.49
Java Developer,0,1,4,B.Sc,1,5.87
Business Analyst,1,1,12,M.Sc,1,7.44
Frontend Developer,0,1,4,B.Tech,0,5.23
ML Engineer,1,1,11,B.Sc,2,11.78
Marketing Executive,3,2,11,M.Sc,2,9.55
Mechanical Design Engineer,3,1,10,M.Sc,0,9.96
Business Analyst,3,2,7,B.Tech,1,8.93
Marketing Executive,0,1,9,MCA,1,5.79
Systems Analyst,0,1,10,B.Tech,1,7.12
Marketing Executive,0,1,5,M.Tech,1,5.4
Systems Analyst,1,1,10,MCA,1,9.21
Marketing Executive,3,1,11,M.Tech,1,12.08
Marketing Executive,1,2,9,M.Sc,0,5.64
UX Designer,1,2,4,M.Tech,1,6.91
DevOps Engineer,3,1,8,M.Tech,1,11.3
UX Designer,0,2,10,MCA,2,6.83
Systems Analyst,2,1,11,M.Tech,0,11.43
Marketing Executive,1,1,11,M.Sc,0,8.06
DevOps Engineer,0,1,4,M.Tech,0,6.66
ML Engineer,1,2,12,MCA,0,8.64
Java Developer,2,1,5,MCA,1,9.97
Marketing Executive,0,2,6,B.Tech,0,4.72
UX Designer,0,2,6,M.Sc,0,5.18
Business Analyst,2,1,7,M.Sc,0,8.4
Java Developer,1,3,7,B.Sc,1,6.19
Java Developer,3,1,10,M.Sc,0,11.15
UX Designer,1,2,5,MCA,0,6.01
UX Designer,0,2,7,M.Sc,1,5.6
Java Developer,1,2,5,B.Tech,1,6.04
Marketing Executive,0,2,7,MCA,1,4.88
Mechanical Design Engineer,0,1,9,B.Tech,0,6.51
DevOps Engineer,0,2,9,M.Sc,1,6.38
Systems Analyst,0,2,11,MCA,0,6.07
Java Developer,0,3,8,M.Tech,0,4.69
DevOps Engineer,2,1,5,M.Tech,1,11.03
Mechanical Design Engineer,0,2,10,MCA,1,4.87
UX Designer,2,1,7,B.Tech,0,9.17
Marketing Executive,0,3,4,B.Sc,2,3.74
Mechanical Design Engineer,0,1,9,MCA,1,5.84
Java Developer,0,1,6,M.Tech,0,5.65
Java Developer,0,2,6,B.Sc,1,4.65
Business Analyst,0,1,6,B.Sc,0,4.52
Data Scientist,0,3,10,MCA,0,7.33
ML Engineer,1,3,9,MCA,1,9.43
Systems Analyst,3,2,8,MCA,0,8.78
Business Analyst,0,1,11,B.Sc,0,6.4
Data Scientist,1,1,7,B.Sc,1,9.29
Frontend Developer,0,1,6,B.Sc,1,6.0
Frontend Developer,0,1,12,M.Sc,1,6.4
Data Scientist,0,2,4,MCA,1,6.86
Systems Analyst,0,1,10,MCA,1,6.72
Systems Analyst,0,1,9,M.Tech,0,7.62
Marketing Executive,2,2,8,B.Sc,1,8.19
UX Designer,0,2,9,B.Sc,0,4.72
Data Scientist,0,2,8,B.Sc,1,6.09
ML Engineer,2,2,6,M.Tech,0,11.09
Data Scientist,0,1,7,M.Tech,2,8.93
Systems Analyst,0,3,9,M.Sc,0,5.14
ML Engineer,1,1,5,M.Sc,1,8.64
Marketing Executive,0,3,5,B.Tech,2,4.73
Business Analyst,2,1,5,MCA,1,8.36
DevOps Engineer,0,3,12,M.Sc,0,5.17
Business Analyst,1,2,12,M.Sc,0,7.19
Mechanical Design Engineer,0,1,7,M.Sc,2,6.13
Systems Analyst,2,1,5,M.Tech,1,9.78
Systems Analyst,1,1,4,M.Tech,2,8.67
UX Designer,0,1,11,B.Tech,1,8.1
UX Designer,1,1,11,M.Tech,0,9.19
Data Scientist,0,1,4,B.Sc,1,7.77
Marketing Executive,3,1,8,B.Tech,0,10.26
UX Designer,2,1,7,MCA,0,9.86
ML Engineer,0,2,11,MCA,0,7.48
DevOps Engineer,0,2,12,B.Tech,1,7.32
Marketing Executive,0,2,7,B.Sc,0,3.78
DevOps Engineer,0,2,10,M.Tech,0,7.38
Marketing Executive,2,1,9,B.Tech,1,9.98
Mechanical Design Engineer,1,2,11,B.Sc,0,6.11
ML Engineer,1,2,12,M.Tech,1,9.28
DevOps Engineer,2,1,6,M.Tech,0,10.15
Mechanical Design Engineer,0,3,7,M.Tech,2,5.41
DevOps Engineer,3,2,5,MCA,0,11.0
Data Scientist,0,1,9,B.Sc,0,8.45
Data Scientist,2,2,7,M.Sc,0,9.47
UX Designer,0,2,7,MCA,0,5.05
Java Developer,0,3,7,M.Tech,1,5.31
Java Developer,2,1,8,M.Tech,1,9.28
UX Designer,2,1,8,M.Tech,0,10.31
Java Developer,0,1,10,MCA,1,5.96
Frontend Developer,1,2,12,M.Sc,1,8.07
Frontend Developer,2,1,10,M.Tech,1,10.14
Mechanical Design Engineer,0,2,9,MCA,0,5.52
Java Developer,0,1,4,M.Tech,0,5.85
Business Analyst,0,1,4,M.Sc,1,4.88
UX Designer,3,2,6,B.Tech,1,11.38
Data Scientist,0,1,11,M.Tech,0,9.45
DevOps Engineer,0,1,5,B.Sc,1,6.61
Java Developer,0,1,4,B.Tech,0,5.63
DevOps Engineer,2,1,11,B.Sc,1,11.88
Marketing Executive,0,1,7,M.Tech,1,6.25
Data Scientist,1,1,12,MCA,0,10.01
DevOps Engineer,2,1,12,MCA,1,10.53
Systems Analyst,0,2,11,B.Tech,0,5.98
Data Scientist,1,1,6,M.Sc,1,8.9
Data Scientist,0,1,11,M.Tech,1,8.12
Java Developer,0,2,9,B.Sc,1,4.59
UX Designer,2,3,7,M.Tech,0,8.45
Business Analyst,2,1,10,MCA,0,9.36
Mechanical Design Engineer,0,1,8,B.Sc,2,6.81
Mechanical Design Engineer,0,1,6,MCA,2,6.21
